0	MILK,BREAD,BISCUIT
1	BREAD,MILK,BISCUIT,CORNFLAKES
2	BREAD,TEA,BOURNVITA
3	JAM,MAGGI,BREAD,MILK
4	MAGGI,TEA,BISCUIT
5	BREAD,TEA,BOURNVITA
6	MAGGI,TEA,CORNFLAKES
7	MAGGI,BREAD,TEA,BISCUIT
8	JAM,MAGGI,BREAD,TEA
9	BREAD,MILK
10	COFFEE,COCK,BISCUIT,CORNFLAKES
11	COFFEE,COCK,BISCUIT,CORNFLAKES
12	COFFEE,SUGER,BOURNVITA
13	BREAD,COFFEE,COCK
14	BREAD,SUGER,BISCUIT
15	COFFEE,SUGER,CORNFLAKES
16	BREAD,SUGER,BOURNVITA
17	BREAD,COFFEE,SUGER
18	BREAD,COFFEE,SUGER
19	TEA,MILK,COFFEE,CORNFLAKES


         BISCUIT  BOURNVITA	BREAD	COCK  COFFEE  CORN
#                                                                                                       FLAKES    JAM     MAGGI      MILK      SUGER	TEA
0	1	0	1	0	0	0	0	0	1	0	0
1	1	0	1	0	0	1	0	0	1	0	0
2	0	1	1	0	0	0	0	0	0	0	1
3	0	0	1	0	0	0	1	1	1	0	0
4	1	0	0	0	0	0	0	1	0	0	1
5	0	1	1	0	0	0	0	0	0	0	1
6	0	0	0	0	0	1	0	1	0	0	1
7	1	0	1	0	0	0	0	1	0	0	1
8	0	0	1	0	0	0	1	1	0	0	1
9	0	0	1	0	0	0	0	0	1	0	0
10	1	0	0	1	1	1	0	0	0	0	0
11	1	0	0	1	1	1	0	0	0	0	0
12	0	1	0	0	1	0	0	0	0	1	0
13	0	0	1	1	1	0	0	0	0	0	0
14	1	0	1	0	0	0	0	0	0	1	0
15	0	0	0	0	1	1	0	0	0	1	0
16	0	1	1	0	0	0	0	0	0	1	0
17	0	0	1	0	1	0	0	0	0	1	0
18	0	0	1	0	1	0	0	0	0	1	0
19	0	0	0	0	1	1	0	0	1	0	1
